,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,spotify_id
"('Rainbow Man', 'Busy P')",0.028,0.763,214627,0.754,0.923,9,0.129,-9.768,1,0.208,104.036,4,0.392,3ZutS6kzYIHQknkuuHtpUP
"('Carry Me Over', 'Avantasia')",0.00424,0.409,232213,0.757,1.71e-05,3,0.134,-5.297,1,0.0297,179.899,4,0.323,3KceV3dx5uh5ccpDi499BZ
"('Complainte De La Butte', 'Rufus Wainwright')",0.852,0.3,187653,0.143,0,5,0.0825,-11.821,1,0.0335,86.41,4,0.345,6LMPmZpxH95EUI5xcUISTo
"('Lost Control', 'Anathema')",0.32,0.644,349855,0.503,0.0574,9,0.161,-8.28,0,0.0374,117.996,4,0.111,6CLtsRrc15QmgkZqqxKxSd
"('Moon Over The Freeway', 'The Ditty Bops')",0.717,0.755,194213,0.489,0.000286,10,0.127,-9.57,0,0.039,122.995,4,0.134,1dvmVVieOs0eSw4FO0sUkt
"('Wandering Soul', 'Alex Parks')",0.136,0.387,211733,0.713,0,8,0.148,-5.157,1,0.0391,185.901,4,0.181,28JeQNxCBPLA1gW05pc4xI
"('Jewel Thief', 'The Kills')",0.144,0.706,167853,0.925,0.687,9,0.0885,-3.834,0,0.0783,110.318,4,0.68,0ttVkyE7LKREitwlsuNQW8
"('Better Together', 'Jack Johnson')",0.291,0.866,207680,0.347,7.01e-06,7,0.109,-9.553,0,0.0685,110.063,4,0.616,4VywXu6umkIQ2OS0m1I79y
"('Three Seed', 'Silversun Pickups')",0.0342,0.556,340533,0.67,0.0214,11,0.376,-8.042,0,0.0354,146.467,4,0.386,7N0p8fqIkwVpTTXSV3V19e
"('Beatnik Boy', 'Talulah Gosh')",0.74,0.494,109600,0.656,0,9,0.16,-7.869,1,0.0332,143.082,4,0.647,7uCgOtOL4Y58geNdHmgIcF
"('Today', 'Electrelane')",0.000788,0.276,510880,0.592,0.854,2,0.0632,-12.569,1,0.0313,139.249,4,0.153,3GqrmkjDwlAVEkHrUOu3hu
"('Noinko Vaikeeta Se On?', 'Maija Vilkkumaa')",0.163,0.546,220173,0.729,0,1,0.624,-5.69,1,0.0469,122.078,4,0.285,0nTldUN4BnSnOLBTBkD0Ua
"('Exchange', 'Massive Attack')",0.555,0.705,251200,0.21,0.88,5,0.111,-14.007,0,0.0288,123.961,4,0.474,2HuMQkNVpFIsur2cRWWQmX
"('Unreachable', 'Paradise Lost')",8.28e-05,0.487,218640,0.924,0.00203,0,0.298,-4.357,1,0.0333,97.999,4,0.361,4UuBhJpfwzYHwhCg7Mde9D
"('Faili Faili Oro', 'Annwn')",0.899,0.382,211053,0.239,0,0,0.799,-8.881,0,0.0297,71.972,4,0.139,1HZfTMotUGPhJ9CJMAB3hg
"('Launderette', 'Vivien Goldman')",0.00156,0.608,228320,0.452,1.19e-05,2,0.0726,-14.339,1,0.213,159.253,4,0.754,2L2hTHvoOSF4MHL8LcjGpV
"(""I Don'T Love You"", 'My Chemical Romance')",0.00837,0.289,238680,0.796,2.61e-05,0,0.202,-4.22,1,0.0494,169.835,4,0.33,4RAOI1etsgbh5NP3T5R8rN
"('Perforations', 'Champion Kickboxer')",0.742,0.535,210280,0.402,0.001,1,0.123,-10.237,0,0.0515,205.744,3,0.643,0UdaniGckjX0wvwFHwfASF
"('Swan Song', 'Giant Drag')",0.0298,0.371,314480,0.718,0.541,4,0.0974,-7.619,1,0.0409,114.992,4,0.333,711LiySkQwTZxTAhz9qbpN
"('Welcome To:', 'Ani Difranco')",0.337,0.386,297867,0.232,0.00605,10,0.106,-11.272,1,0.0357,181.308,4,0.181,3rhJAs5MEE52YqqW2CJcAf
"('Stone The Crow', 'Down')",0.0139,0.444,282507,0.911,0.00955,11,0.0868,-6.117,0,0.0398,106.437,4,0.556,7DuRbuweGD2cpGN74cpPAF
"('Crimson King', 'Demons & Wizards')",1.22e-05,0.25,200933,0.966,2.46e-05,0,0.301,-4.071,1,0.107,91.674,4,0.263,0Pe5gdXJI0hVXjx6dwXFsL
"('Bienvenida A Tijuana', 'Manu Chao')",0.729,0.52,115133,0.619,0,0,0.915,-8.118,1,0.034,85.476,3,0.786,5Ffz69AOkYlbj87HpPWKXY
"('A Girl Like You', 'Edwyn Collins')",0.0243,0.619,236583,0.781,0.000286,5,0.402,-7.455,0,0.0393,126.267,4,0.533,6XOINCZBv8Q7RXgNNiTwIN
"('Gorge ""Arachnée""', 'Position Parallèle')",6.31e-06,0.418,177533,0.779,0.887,11,0.129,-15.852,1,0.0434,159.944,4,0.625,3cw8JoZaucWD4Wafqgkz54
"('Cherry Chocolate Salamander', 'Swarm Of The Lotus')",2.4e-06,0.213,197173,0.967,0.00865,4,0.162,-6.407,0,0.0849,73.69,4,0.0952,1RICf7SVZjitix3zrmAf9z
"('Act Of Love', 'Neil Young')",0.00052,0.4,294640,0.729,0.73,4,0.134,-11.057,1,0.0377,114.204,4,0.0837,65KGYTDEDPCX0PGBXXQd6O
"('Hold On To You', 'Madrugada')",0.029,0.672,374387,0.613,0.0583,9,0.115,-9.17,0,0.0244,111.881,4,0.432,4quUgk8dtrXZYI7pzj223Z
"('Dark City', 'Machinae Supremacy')",0.000138,0.297,356707,0.792,0.00444,6,0.27,-4.656,0,0.0326,89.832,4,0.341,4pcskeINXPweK0HzD2ZDPn
"('The Hook', 'Stephen Malkmus')",0.00128,0.509,183027,0.779,0.493,11,0.316,-7.133,0,0.0303,203.531,4,0.933,3SynOuaGj9GAw3Sy7BNz0b
"('Mer Jul', 'Adolphson & Falk')",0.959,0.574,229693,0.247,1.68e-06,7,0.75,-12.245,1,0.181,82.647,4,0.6,5RovtRpkARNxjwcUGEaBha
"('In My Command', 'Crowded House')",0.00819,0.368,223533,0.82,6.61e-05,0,0.164,-7.001,1,0.0348,112.869,4,0.539,602hyAXZCt49U4PWKvPyjI
"('The Animal Within', 'Mors Principium Est')",1.34e-05,0.399,210667,0.922,0.938,11,0.778,-5.702,0,0.0878,129.971,4,0.299,2I2m1E2ml9zETLbTPSZ1m6
"('Tiger Claw Skank', 'Dry & Heavy')",0.799,0.82,92146,0.359,0.874,2,0.0974,-7.914,1,0.0562,145.97,4,0.477,3ml9GKgfaiYDV6OKKlsDQw
"('On Your Knees', 'Dive')",0.694,0.236,266213,0.931,0.947,4,0.104,-9.195,0,0.0883,120.055,4,0.0168,3whOJeP9jI0J10deGwM3EV
"('Express Yourself', 'N.W.A')",0.0463,0.845,265102,0.584,0,8,0.254,-10.996,0,0.304,95.052,4,0.951,52IuMfbQa9aqRPz2oYPAI8
"('Summertime', 'Josh Rouse')",0.591,0.845,143120,0.338,0.00622,7,0.14,-13.236,0,0.0413,130.037,4,0.666,19FkTzkzF9Qx6sHo8mQjiO
"('Into The Fold', 'The Duke Spirit')",0.0377,0.284,169093,0.941,0.000353,11,0.0815,-3.275,0,0.186,163.987,4,0.488,1atxllV9C2VkZnRsnvSJE8
"('Pigeon Song', 'Patrick Wolf')",0.245,0.432,214640,0.0876,0.0722,7,0.0988,-16.234,0,0.0333,111.541,3,0.116,6cHAlxVSJZPM4RsWMpGie7
"('Roseability', 'Idlewild')",8.04e-05,0.437,218960,0.917,0.000385,6,0.106,-6.693,1,0.0598,143.113,4,0.386,6DvjbUzZtjvb6Oykwr6nZX
"('Of Wolf And Man', 'Metallica')",0.000881,0.627,256600,0.752,0.0299,5,0.105,-7.691,1,0.0346,121.775,4,0.472,1cojSYj0ugS7tmcwKIxMX4
"('Flower', 'Antelope')",0.233,0.699,172627,0.562,0.64,9,0.101,-8.542,1,0.0407,142.36,4,0.45,3y6nQir2pepGrcupsXhFEW
"('Untitled No. 1', 'Chris Mills')",0.0106,0.374,179267,0.931,1.13e-05,7,0.518,-4.637,1,0.19,168.827,4,0.781,2jqnE2YwXTEa1KqVJyp7uM
"('Attica Blues', 'Archie Shepp')",0.0896,0.405,287867,0.785,0,10,0.136,-10.907,1,0.118,90.022,4,0.784,6VdtTwF9ZW5m9Lct4ep02s
"('The Watcher', 'Hawkwind')",0.0774,0.643,305413,0.861,0.0849,2,0.287,-7.694,1,0.0308,134.022,4,0.916,6ggtZJf5erfxjhlAfzPR02
"('La Soledad', 'Pink Martini')",0.667,0.535,339160,0.261,0.00151,7,0.146,-15.341,1,0.0381,126.695,4,0.195,1gMSGrTUjdbVIRqeyrWBoi
"('Kal Ho Naa Ho (Sad)', 'Shankar-Ehsaan-Loy')",0.347,0.585,335160,0.467,0.000201,10,0.0878,-7.957,1,0.0307,77.985,4,0.354,4lUCGBxMfX94HYiSz9xjMy
"('Angel With The Scabbed Wings', 'Marilyn Manson')",0.000546,0.626,231920,0.759,0.00552,8,0.313,-9.522,1,0.0526,108.005,4,0.549,0FQjfJB4cdkVfxZHz8RV4M
"('Unintelligent Design', 'Cattle Decapitation')",0.00018,0.13,217107,0.991,0.298,4,0.127,-3.444,1,0.211,70.557,4,0.0683,4wJudTIYMiCF2FltP9Ng2h
"('Rooms', 'The Mamas & The Papas')",0.352,0.552,162373,0.616,0,1,0.0501,-9.785,0,0.0346,112.442,4,0.667,4s6LhHAV5SEsOV0lC2tjvJ
"('Beard Lust', ""Natalie Portman'S Shaved Head"")",0.342,0.621,141303,0.854,0,6,0.937,-6.162,0,0.33,79.877,4,0.785,3VHn13VhNF5s5qtoKkufvI
"('Wasted', 'Black Flag')",0.645,0.46,51373,0.941,0,0,0.392,-10.884,1,0.0764,91.414,4,0.168,4nrsxlCHeaa8NLrfhCI05b
"('Sad And Lonely', 'Secret Machines')",0.00278,0.384,280760,0.828,0.42,2,0.191,-8.02,1,0.0726,156.154,4,0.281,64fHqKRb75XTHD3ZbecQF2
"('Full Sesh', 'Against Me!')",0.000141,0.414,185533,0.68,0.00369,1,0.318,-3.617,0,0.0434,132.766,4,0.515,0mBNPrdirwsYEPxVPWJQXz
"('Understood By Your Dad', 'Brad Sucks')",0.00663,0.596,170597,0.816,0.000622,11,0.319,-6.866,0,0.0284,105.001,4,0.691,25nsqRZfghOx0UfigDBkO6
"('Emily', 'Alice In Videoland')",8.7e-05,0.591,168667,0.931,0.225,9,0.192,-5.001,0,0.0326,104.977,4,0.848,64zy0dCHYYVaV8bevbvnug
"('Mexican Standoff', 'Graeme Revell')",0.686,0.542,49760,0.405,0.932,2,0.196,-10.819,1,0.0434,122.026,4,0.609,7y6QJSnshqombRovhJAInk
"('Snake Bite', 'Sixtoo')",0.0787,0.662,304160,0.609,0.0115,6,0.0822,-8.859,0,0.0331,185.012,4,0.791,6KJOziNP6OKskGvXKqCKB4
"('Talent Show', 'The Replacements')",0.332,0.58,213960,0.881,0,9,0.0734,-6.94,1,0.14,149.303,4,0.492,3wd3urhHJUxDsqUkcsghrp
"('The Huntmaster', 'Alestorm')",4.68e-06,0.487,300453,0.988,0.78,1,0.305,-4.643,1,0.0859,127.439,3,0.124,6hNmn5G0cL7EMUIfSviqzJ
"('Running From Home', 'Bert Jansch')",0.887,0.562,140273,0.158,0.000315,4,0.106,-19.463,1,0.0369,88.361,4,0.227,5I4LTcEg5nFSnuMzAQumh5
"('Will I?', 'Ian Van Dahl')",0.053,0.56,226667,0.971,0.106,0,0.0618,-7.357,0,0.0388,139.972,4,0.925,30IsT0i67U95R6O5vGp9h1
"('The Endless Feed', 'Dark Tranquillity')",0.000387,0.339,285587,0.935,0.0031,7,0.12,-4.842,1,0.095,150.241,4,0.131,5VkeNZh9DEeW1FGhfx7wEo
"('Steel Of My Axe', 'Doomsword')",6.15e-06,0.372,246307,0.925,0.298,11,0.0979,-5.294,1,0.141,160.317,4,0.298,4sOKSSqWixP93cKgpx8pPu
"('Allergic', 'Placebo')",1.62e-05,0.311,229173,0.92,0.855,8,0.0897,-6.771,1,0.0531,118.194,4,0.0713,0gB9NJfShsqxIkOURifK9K
"('It Grieves My Heart', 'Draconian')",4.03e-06,0.136,450440,0.791,0.631,8,0.393,-5.01,1,0.0427,159.573,4,0.144,7vcPV2EDneXa5CVHGGvXrt
"('Some Weird Sin', 'Iggy Pop')",0.348,0.461,221374,0.887,0.541,8,0.159,-4.301,0,0.0346,91.832,4,0.643,6bQQEDyyAEmwYqXmMpvCFh
"('Setting Sail In April', 'By The End Of Tonight')",0.0171,0.346,340213,0.675,0.866,7,0.203,-8.524,1,0.0459,85.052,4,0.351,3UihzfU06JbyTvMZj8Xjd8
"('Nie Wszystko Co Pozytywne Jest Legalne', 'Pidżama Porno')",0.0104,0.479,284120,0.818,7.26e-06,0,0.132,-6.276,1,0.0496,189.905,4,0.699,4hBS8YPeZG9z58lJ5RRuac
"('Aurora', 'Björk')",0.373,0.564,279667,0.592,2.46e-05,9,0.0845,-8.367,0,0.0343,120.008,4,0.258,6uo8VFsqMd3cStrB4CGUNA
"('March Of Loss', 'Arcana')",0.00133,0.0832,318960,0.626,0.165,10,0.183,-10.485,1,0.0423,80.792,3,0.0799,70qLc4g9jALG6CpSnLuPLv
"('1517', 'The Whitest Boy Alive')",0.317,0.784,221227,0.539,0.377,11,0.0989,-7.676,0,0.0406,122.53,4,0.962,3l9zGL9JXEOyH5fHEDMoaC
"('The 4Th Branch', 'Immortal Technique')",0.461,0.746,318507,0.87,0,6,0.577,-7.134,1,0.341,75.861,4,0.862,6fZaPdmxn2NfrO5LnZjwE1
"('Stigmata Martyr', 'Bauhaus')",0.00728,0.474,226400,0.531,0.00838,11,0.3,-11.741,0,0.0917,141.968,4,0.302,1tucajXMeuAA0xKRTvij7c
"('Tribute To Johnny', 'The Smashing Pumpkins')",2.61e-05,0.481,153293,0.698,0.92,1,0.139,-8.182,1,0.0362,99.308,4,0.343,3POFjrgfMPNlASqk6FvSgi
"('Absinthe Party At The Fly Honey Warehouse', 'Minus The Bear')",0.00348,0.233,324267,0.949,0.081,7,0.856,-5.436,1,0.0539,152.267,4,0.455,6t5PIxRt2QCCEilohtZ3Xq
"('Everything Kills You', 'Echo & The Bunnymen')",0.947,0.343,215750,0.183,0.878,3,0.0959,-16.219,1,0.0397,74.225,4,0.0688,2gCd69plASs1CIhfArHlPQ
"('Helpless', 'Nick Cave & The Bad Seeds')",0.139,0.735,370573,0.403,0.473,4,0.107,-11.599,0,0.037,115.658,4,0.453,0qHeP8zt2WWef7EWCs1ECj
"('Stay On These Roads', 'A-Ha')",0.0329,0.572,284053,0.51,0.103,5,0.163,-9.99,1,0.0308,103.973,4,0.188,2ejkRnZWPACfuqr06gFw1w
"('Eclipse', 'Charles Mingus')",0.748,0.259,176640,0.149,6.42e-05,8,0.108,-21.08,0,0.0368,68.879,4,0.102,3NdZwiGq9uk35AYglsjbg6
"('Animal I Have Become', 'Three Days Grace')",0.000684,0.553,231400,0.853,0,8,0.126,-3.668,1,0.0339,122.023,4,0.506,56sk7jBpZV0CD31G9hEU3b
"(""There Ain'T No Sanity Clause"", 'The Damned')",0.00406,0.423,149480,0.888,0,11,0.209,-6.302,0,0.0732,134.855,4,0.439,032NvQJ1oUO6ZdgMPTHrJO
"('Platerspiel (Live)', 'Corvus Corax')",0.000472,0.253,633093,0.889,0.897,10,0.984,-9.596,1,0.0599,98.901,4,0.069,4zTdkKF3JFsZWg0tVXX2r2
"('Voodoo Child (Slight Return)', 'Jimi Hendrix')",0.48,0.214,313373,0.91,0.00839,8,0.0517,-6.662,1,0.389,175.561,4,0.447,2AxCeJ6PSsBYiTckM0HLY7
"('Eyesight To The Blind (The Hawker)', 'The Who')",0.207,0.749,135122,0.471,0.000151,7,0.0932,-9.503,0,0.0417,112.564,4,0.458,5WVTJ8gyEV1DBOcRPiTZwA
"('Festival', 'Sigur Rós')",0.561,0.173,563760,0.397,0.405,7,0.103,-9.002,1,0.0332,74.755,4,0.202,3SsnufJnuqrXZmzJMw835e
"('Vlci', 'Kvety Nikotínu')",0.294,0.526,162280,0.309,0.000548,10,0.078,-7.925,0,0.0286,63.947,4,0.0395,1rTFLc1DrCxe5L3CI9gJEs
"('Death In Fire', 'Amon Amarth')",1.25e-06,0.479,294893,0.986,0.634,4,0.117,-3.92,0,0.18,130.015,4,0.164,0UzhWantC3SRDwpNA6ygXt
"('Voy', 'Julien Neto')",0.941,0.51,287333,0.0616,0.923,7,0.0984,-17.845,0,0.0361,128.133,4,0.102,7BLu38No5K3hJNyQhUOIy5
"('Glory Box', 'Portishead')",0.228,0.481,305560,0.409,0.409,1,0.0735,-9.919,1,0.0396,119.756,4,0.232,3Ty7OTBNSigGEpeW2PqcsC
"('Run Baby Run', 'Garbage')",2.37e-05,0.461,238067,0.925,0.0682,11,0.176,-3.672,1,0.044,131.016,4,0.328,6yNy4nMUulxSif70Wh4PhF
"('The Final Countdown', 'Europe')",0.0628,0.536,310333,0.844,0.00084,6,0.0608,-6.918,0,0.058,117.652,4,0.185,3MrRksHupTVEQ7YbA0FsZK
"('I Like Giants', 'Kimya Dawson')",0.836,0.538,158800,0.494,0,0,0.219,-9.781,1,0.0452,148.917,4,0.962,1UJfNzt4cNgwDmCRmKMY30
"('Mansion On The Hill', 'Hank Williams, Jr.')",0.918,0.58,157373,0.194,0.000606,9,0.321,-15.474,1,0.0316,110.79,4,0.48,4SajM6eQTpTwi6JzBSWMDh
"('Majour', 'Glassjaw')",0.000469,0.315,240533,0.814,0,0,0.354,-7.612,1,0.093,91.664,4,0.331,0TkCkCHD4PoEWhyXUeQVWN
"('Dé Luain, Dé Máirt', 'Gaelic Storm')",0.654,0.686,185200,0.781,0.0251,2,0.0899,-6.987,1,0.0454,101.007,4,0.938,1VQdkHRgB16aFy3k2pOcGg
"(""When I'M Sixty-Four"", 'The Beatles')",0.625,0.704,157667,0.241,2.8e-05,1,0.0868,-13.258,1,0.0476,140.411,4,0.661,1NrbnHlR2BFREcyWXHIHip
"('Direct To Helmet', 'The Spinto Band')",0.476,0.41,189147,0.735,4.43e-06,7,0.135,-5.218,1,0.0441,152.051,4,0.429,06lRNfEehEHCY1ZAYsfWRw
"('Circuit Breaker', 'Röyksopp')",0.000156,0.637,324661,0.925,0.677,10,0.0904,-6.84,0,0.0548,132.976,4,0.715,1sj0tCwc2vH6AwCSADtn7c
"('Talking To A Brick Wall', 'The Cooper Temple Clause')",0.00636,0.464,359467,0.624,6.64e-06,4,0.225,-6.613,0,0.0399,77.362,4,0.301,3ZXL2lrkp5fhngxjnqQwYk
"('Oregano', 'Gonzales')",0.992,0.471,84667,0.0419,0.897,7,0.112,-24.503,0,0.0463,129.011,4,0.83,6cyztpu1LJB1ieFTQWUvjk
"('Disappear Like The Morning...', 'Hammock')",0.326,0.36,290679,0.441,0.834,6,0.245,-10.573,1,0.0324,118.97,4,0.0921,0WlOGdPJjFNSsGn5UmMtqt
"('Poison Fingers', 'Into Another')",0.000197,0.471,242040,0.704,0.12,9,0.0682,-9.487,1,0.0444,80.652,4,0.596,2T9eb1atvJUZhx7dy2ppsr
"('I Need You (That Thing You Do)', 'The Wonders')",0.00174,0.519,172427,0.813,0,0,0.154,-4.906,1,0.0278,141.872,4,0.654,6ZFKCzgIHnsVeCdoMxLbuE
"('97 And 02', 'Circlesquare')",0.29,0.488,180573,0.114,0.889,9,0.171,-17.975,1,0.0287,84.613,4,0.0768,6DZ7WGvR9WXtN9e5R78ekU
"('Ave Maria', 'Franz Schubert')",0.994,0.146,256573,0.146,0.788,10,0.107,-15.64,1,0.044,175.795,3,0.0577,4JsMpgsep6XpuHSzKCTxCz
"('Sailing Away', 'Travis')",0.0146,0.503,211453,0.649,8.72e-05,11,0.0976,-7.62,1,0.029,87.988,4,0.648,5bBJN7deVxQpsyEo4YVeAX
"('Another Station (Todd Terje Remix)', 'Lindstrøm')",0.0202,0.691,449987,0.902,0.894,6,0.109,-9.196,1,0.0504,122.032,4,0.719,6l1dM4m2R1FYh4oKxoRzUx
"('Magic Doors', 'Portishead')",0.141,0.4,211933,0.776,0.784,2,0.0662,-6.066,0,0.0515,100.247,4,0.61,3D6t68V5WfxEIMbwcARLia
"('Honey, Just Allow Me One More Chance', 'Bob Dylan')",0.839,0.545,118160,0.525,5.26e-06,2,0.256,-12.606,1,0.0859,119.29,4,0.947,71XTdtW3bvmIrotG8yYVMS
"('Fragment One', 'Eraldo Bernocchi & Harold Budd')",0.985,0.0821,293627,0.104,0.794,11,0.0907,-21.088,1,0.0379,74.773,1,0.0354,6RtdBwIiYavQENjkE6JCba
"('Tears In Rain', 'Vangelis')",0.0767,0.21,180933,0.155,0.762,0,0.352,-25.255,1,0.0349,96.349,4,0.0379,2LxEIWrZkzfc55c3rk05DH
"('Wicked Witch', 'Demons & Wizards')",1.22e-05,0.25,200933,0.966,2.46e-05,0,0.301,-4.071,1,0.107,91.674,4,0.263,0Pe5gdXJI0hVXjx6dwXFsL
"('My Friend Peter', 'Alkaline Trio')",0.00262,0.502,134880,0.824,0.00023,4,0.155,-7.143,1,0.0428,105.179,4,0.85,27jbQySldKEX1W17293Mto
"('From Her To Eternity', 'Nick Cave & The Bad Seeds')",0.139,0.735,370573,0.403,0.473,4,0.107,-11.599,0,0.037,115.658,4,0.453,0qHeP8zt2WWef7EWCs1ECj
"('Meeting With Ansoee', 'Rhythm Of Mankind & Nature')",0.277,0.571,344000,0.419,0.902,7,0.363,-15.557,1,0.0571,152.018,4,0.461,4ur87zTxQyQjONgorAtmPf
"('Madre Deus', 'Annwn')",0.817,0.211,301827,0.309,0,2,0.0914,-8.573,0,0.0355,75.876,4,0.126,4ieWS610x0krI6hdsMSVZB
"('Broken Foundation', 'Earth Crisis')",2.52e-05,0.342,241133,0.812,0.131,9,0.188,-5.987,1,0.0948,120.072,4,0.488,3U0IoxG8QsQhbL4W135eEX
"('Hot One!', 'The Bees')",0.275,0.339,165507,0.92,0,6,0.34,-6.195,0,0.0681,169.425,4,0.667,793RWxfML9sjJ8Ri2RrmWT
"(""St. Peter'S Day Festival"", 'Ra Ra Riot')",0.00088,0.258,215493,0.779,0.00036,7,0.125,-7.163,1,0.0818,168.695,4,0.694,36pX3iYO8fXMwVx9cPpY0W
"('Light Will Deserve A Place', 'Mahogany')",0.0526,0.445,309613,0.448,0.0593,11,0.0813,-6.747,0,0.0299,119.504,4,0.111,4DYCWPs8fJ1jLLB6nBe1qk
"('The Blood, The Sweat, The Tears', 'Machine Head')",0.000126,0.338,251000,0.974,0.000302,4,0.144,-7.43,1,0.14,139.605,4,0.398,2zETdkc5Wm23NLHEWDillV
"('Here Comes The Summer', 'The Fiery Furnaces')",0.0247,0.723,209987,0.785,0.00347,5,0.26,-5.722,1,0.0302,128.03,4,0.816,257xjCQOUQaSOwQWw9fTe1
"('Nude As The News', 'Cat Power')",0.41,0.59,263400,0.603,0.000388,4,0.0761,-9.426,0,0.0295,120.017,4,0.534,3aei1LDjspbt82vLTY93aW
"('Rebellion (Lies)', 'Arcade Fire')",0.00744,0.401,310893,0.933,0.627,8,0.318,-5.682,1,0.0344,127.193,4,0.734,0xOeB16JDbBJBJKSdHbElT
"('These Few Presidents', 'Why?')",0.212,0.441,184438,0.548,9e-05,5,0.111,-8.184,0,0.0551,129.915,4,0.459,3je5cct1llhBSOE9Vkimbi
"('Moze', 'Jacaszek & Miłka')",0.268,0.363,301050,0.366,0.624,2,0.153,-12.702,0,0.0294,81.478,3,0.114,5cYgF1eWRB40XS50SqaTiZ
"('All Things', 'The Cinematic Orchestra')",0.103,0.231,366947,0.411,0.928,0,0.101,-12.483,1,0.0316,75.135,4,0.0754,4RG5QshnZ7g7oaY1AQB8Yo
"('Chylde Of Fire', 'Witchcraft')",0.00911,0.373,170400,0.925,0.000287,4,0.0678,-5.338,0,0.0449,131.14,4,0.534,6KfRJ7yjyGGh0n9lWy3pYr
"('Earth Intruders', 'Björk')",0.395,0.626,373853,0.948,0.00278,1,0.385,-7.838,1,0.27,108.981,4,0.18,7GgzqbrToXcicwk4yBS1BN
"('You Make It Easy', 'Air')",0.216,0.641,241533,0.514,0.0111,5,0.0883,-10.925,1,0.028,109.841,4,0.357,1SxkYuCQOVyzJaQYqIvVjZ
"('Stronger', 'Kanye West')",0.00728,0.625,311867,0.726,0,10,0.318,-7.731,0,0.155,103.98,4,0.483,6C7RJEIUDqKkJRZVWdkfkH
"('Like It Or Not', 'Madonna')",0.159,0.703,275573,0.661,0.000846,10,0.111,-5.446,0,0.0861,119.919,4,0.389,5uLLwUZfktjy3N2UorBwr8
"('Dödel Up', 'Guano Apes')",0.000778,0.629,217867,0.787,0.000402,6,0.3,-7.61,1,0.0614,126.469,4,0.887,52cQI7HlKQiS5SGUh96Nla
"('Future', 'Cut Copy')",0.0913,0.69,312040,0.868,0.271,9,0.133,-8.944,0,0.0389,119.49,4,0.657,1L44XODDvPjK4Tl9airKLy
"('Unholy Warcry', 'Rhapsody Of Fire')",0.0225,0.327,353520,0.88,0.00199,0,0.244,-4.841,1,0.0651,90.005,4,0.155,3f6KCfAEKkL43OvGty6NcC
"('Your Place', 'Zero 7')",0.444,0.186,365587,0.261,0.519,10,0.0836,-11.507,1,0.0293,186.242,3,0.0398,63lUdJxDQ9lD70iOknqcST
"('Five Man Army', 'Massive Attack')",0.00949,0.629,364347,0.697,0.235,6,0.118,-11.293,1,0.0765,162.266,4,0.844,4pQXPcVWTCa4Ve73Sw4G2q
"('Fergalicious', 'Fergie')",0.0568,0.904,292373,0.598,0,8,0.111,-7.651,0,0.337,129.055,4,0.785,1D066zixBwqFYqBhKgdPzp
"('Send Him Away', 'Franz Ferdinand')",0.00373,0.463,179280,0.846,0.00295,7,0.0789,-3.136,0,0.0545,118.556,4,0.867,6FflepIrYXqOHv4lV4F7xg
"('Also Frightened', 'Animal Collective')",0.127,0.253,314067,0.821,0,0,0.448,-6.119,1,0.1,151.351,3,0.179,6dRAwuJNZ79vGXvcYuPaM8
"('Does Stephanie Know', 'Squire')",0.0204,0.484,165707,0.776,0.0134,7,0.0753,-3.972,1,0.0831,143.828,4,0.868,6Qqyf5EbVivgc2e5Ry5Ryh
"('Chan', 'Buena Vista Social Club')",0.842,0.506,257737,0.433,0.0311,2,0.112,-14.183,0,0.0345,83.222,4,0.641,7DqTaelFf846rl1CHmyfOW
"('Parabola', 'Jawbreaker')",3.24e-05,0.326,186493,0.988,0.755,9,0.233,-7.907,0,0.0639,116.235,4,0.167,0APvAyGJ1O1RbYvVy2xlYh
"('Sprig', 'Emily Haines & The Soft Skeleton')",0.906,0.535,249467,0.497,0.868,0,0.119,-11.465,0,0.0246,99.032,4,0.266,67GoQMfcnw9KIwJUIAIlXG
"('Bird On A Wire', 'Rogue Wave')",0.00257,0.145,220027,0.69,0,10,0.314,-5.975,1,0.0419,52.96,4,0.374,2Ai49lBvRK0FlbMwYTy9Gg
"('Ozan', 'Adjágas')",0.753,0.263,222267,0.438,0.343,2,0.108,-12.107,1,0.0284,98.429,4,0.387,5D0IbQu9PxqLnoTPD6k8IT
"('Sinners Parade', 'Gemini Five')",4.62e-05,0.569,176160,0.934,0.0748,2,0.261,-5.366,1,0.059,135.016,4,0.549,7uqbXZf2mwBB0jvZCHATtB
"(""Say It Ain'T So"", 'Weezer')",0.00328,0.635,256880,0.435,6.78e-06,3,0.071,-7.521,1,0.031,76.098,4,0.459,4YPhn26bIFm2KUkL1VLzQG
"('Red Carpet Massacre', 'Duran Duran')",0.254,0.725,196573,0.816,1.05e-05,11,0.117,-4.41,1,0.0453,101.361,4,0.635,68n4htuuvOvsGFUtoGIaz1
"('We Are But Falling Leaves', 'Sentenced')",0.00296,0.413,268120,0.676,1.78e-05,2,0.145,-6.871,0,0.0282,159.962,4,0.114,6Pp7OnBThYEFn2rn2cQbvh
"('The Beast', 'Tech N9Ne')",0.287,0.703,219573,0.909,0,5,0.401,-4.205,0,0.46,204.208,4,0.777,2ZaWL12apL7wmNPuJMlny4
